update_step,epoch,batch_start,batch_size,batch_train_loss,valid_loss
405,17,5120,256,1.4486219702997967,1.515435702362238
406,17,5376,256,1.4343287683550745,1.5141950081992217
407,17,5632,256,1.4295193923649037,1.5128724527520336
408,17,5888,6,1.341961458644657,1.5128432251192632
409,18,0,256,1.4467889799530007,1.511512733812979
410,18,256,256,1.4561347087855387,1.5103011743633534
411,18,512,256,1.4409338371604763,1.5090610981980594
412,18,768,256,1.4367846430830493,1.5077424486244626
413,18,1024,256,1.466656539785565,1.5065059470544153
414,18,1280,256,1.4441057272590692,1.5053069770507472
415,18,1536,256,1.411398398670479,1.5040824531070294
416,18,1792,256,1.432195637405414,1.5028111038525218
417,18,2048,256,1.4364525273943158,1.5015545192124715
418,18,2304,256,1.4101177479709992,1.5003843396041003
419,18,2560,256,1.4461051241152811,1.4992973545305543
420,18,2816,256,1.4590398949022316,1.4981650108428708
421,18,3072,256,1.4214002029330002,1.4968341388964026
422,18,3328,256,1.4372365991412557,1.4956790265796942
423,18,3584,256,1.4278297555840935,1.4944954588133461
424,18,3840,256,1.4397625056368746,1.4933875795882738
425,18,4096,256,1.3886766127904442,1.492132482063506
426,18,4352,256,1.4216187853832536,1.4909368789575128
427,18,4608,256,1.41154926117954,1.4897214335986486
428,18,4864,256,1.4787441275550806,1.4885674424947555
429,18,5120,256,1.457814593379279,1.4873433380754106
430,18,5376,256,1.4084565926900372,1.4861919056891317
431,18,5632,256,1.420887991762905,1.4849978784239275
432,18,5888,6,1.4515996663822859,1.4849654304824536
433,19,0,256,1.3890062956638016,1.4838959406763637
434,19,256,256,1.404759911520792,1.4828014620531287
435,19,512,256,1.433044491146599,1.4816641189929802
436,19,768,256,1.4131498944776917,1.4804361827014587
437,19,1024,256,1.4212577413986631,1.479347923150584
438,19,1280,256,1.405371247942623,1.4782295006796633
439,19,1536,256,1.4272451038699128,1.4769927791982156
440,19,1792,256,1.3981866476605154,1.4757218311833127
441,19,2048,256,1.3465092894834365,1.4745159904108127
442,19,2304,256,1.3509850973188793,1.4733902575102868
443,19,2560,256,1.4604585057964603,1.4721978846722799
444,19,2816,256,1.4128325994803006,1.4710800416786114
445,19,3072,256,1.3999923091388704,1.4698991080023383
446,19,3328,256,1.3932219670294532,1.468760674087879
447,19,3584,256,1.386773566983658,1.467593609392625
448,19,3840,256,1.4170915679722649,1.4664760142615405
449,19,4096,256,1.4553388876602835,1.465402984234991
450,19,4352,256,1.4114202002805718,1.464233337652952
451,19,4608,256,1.4389934766493249,1.4631242129620865
452,19,4864,256,1.3830932601336539,1.462025794586336
453,19,5120,256,1.4237655661452056,1.4608294244111406
454,19,5376,256,1.3875252282556936,1.4596870320469004
455,19,5632,256,1.367401662849014,1.4585213201768206
456,19,5888,6,1.5390631964842763,1.4584855568146526
457,20,0,256,1.3350566792848166,1.4573375186135233
458,20,256,256,1.3991460877844122,1.4563014605999465
459,20,512,256,1.4213603100598764,1.4551333151000436
460,20,768,256,1.3921483664250163,1.4539835973776603
461,20,1024,256,1.3626771102501354,1.4528164568827184
462,20,1280,256,1.361024755050669,1.451779751773322
463,20,1536,256,1.3936233489932208,1.450664588308392
464,20,1792,256,1.3642463068966075,1.4495800861058592
465,20,2048,256,1.3876580019435076,1.448443566933108
466,20,2304,256,1.4021308299000845,1.4473684353834113
467,20,2560,256,1.3625084170698905,1.4461636071258392
468,20,2816,256,1.397068013556627,1.4451984444003572
469,20,3072,256,1.378601633353088,1.4440327195083773
470,20,3328,256,1.4017583102673234,1.4429214438408242
471,20,3584,256,1.4157378037966826,1.4418962638329385
472,20,3840,256,1.3900800693337214,1.4407781965563207
473,20,4096,256,1.3622079629128785,1.439647832960821
474,20,4352,256,1.367089015986895,1.438688507942961
475,20,4608,256,1.3324010307598884,1.437632269208359
476,20,4864,256,1.3451614037379267,1.4365890963439474
477,20,5120,256,1.3620984826012346,1.4355298492546797
478,20,5376,256,1.3821482186329506,1.4344759308202577
479,20,5632,256,1.3781619281274133,1.4334261192000302
480,20,5888,6,1.1452196502618592,1.4333902188738186
